latitude,longitude,coordinates,MCDELIVERY_URL,shortDescription,longDescription,todayHours,driveTodayHours,id,addressLine1,addressLine3,addressLine4,subDivision,postcode,customAddress,telephone,openstatus,identifierValue,timeZone,filterType,rest_hoursMonday,rest_hoursTuesday,rest_hoursWednesday,rest_hoursThursday,rest_hoursFriday,rest_hoursSaturday,rest_hoursSunday,drive_driveHoursMonday,drive_driveHoursTuesday,drive_driveHoursWednesday,drive_driveHoursThursday,drive_driveHoursFriday,drive_driveHoursSaturday,drive_driveHoursSunday,ident_NATLSTRNUMBER,ident_Entity,ident_Region_ID,ident_Co_Op,ident_Co_Op_ID,ident_Co_Op_Name,ident_TV_Market_ID,ident_TV_Market_Name
61.139912,-149.863216,"[-149.863216, 61.139912]",https://www.ubereats.com/store/mcdonalds-8915-old-seward-hwy/rp8Nqcg8QoGUw0AeWWf7nQ,"ANCHORAGE, OLD S","ANCHORAGE, OLD SEWARD HWY K-MART",06:00 - 23:00,06:00 - 23:00,195500345222:en-US,8915 Old Seward Hwy,Anchorage,United States,AK,99515,"Anchorage, AK 99515",(907) 344-4231,OPEN,27354,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 04:00,00:00 - 00:00,04:00 - 23:00,27354,155727,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.138219,-149.835083,"[-149.835083, 61.138219]",https://www.ubereats.com/store/mcdonalds-9100-lake-otis-pky/v6kjGSHnTXCkCGjuO2Q8bQ,LAKE OTIS,ANCHORAGE - LK OTIS,06:00 - 23:00,06:00 - 23:00,195500328034:en-US,9100 Lake Otis Pkwy,Anchorage,United States,AK,99507,"Anchorage, AK 99507",(907) 349-0285,OPEN,18691,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,18691,31890,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.137134,-149.950886,"[-149.950886, 61.137134]",https://www.ubereats.com/store/mcdonalds-3828-dimond-blvd/6CD77pPDRNqqy5RITyuNwA,JEWEL LAKE,3828 DIMOND BLVD,06:00 - 23:00,06:00 - 23:00,195500327914:en-US,3828 W Dimond Blvd,Anchorage,United States,AK,99502,"Anchorage, AK 99502",(907) 248-0597,OPEN,7602,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,7602,31869,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.108265,-149.857891,"[-149.857891, 61.108265]",https://www.ubereats.com/store/mcdonalds-1320-huffman-blvd/wCVu9KMKRFm5Ddgla8aqpQ,ANCHORAGE-HUFFMN,ANCHORAGE-HUFFMN,11:00 - 22:00,07:00 - 23:00,195500327860:en-US,1320 Huffman Rd,Anchorage,United States,AK,99515,"Anchorage, AK 99515",(907) 345-5932,OPEN,7153,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,7153,31860,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.327018,-149.571341,"[-149.571341, 61.327018]",https://www.ubereats.com/store/mcdonalds-11808-old-glenn-hwy/ePdfUc--Th21nLUT9kK-Pg,EAGLE RIVER,EAGLE RIVER-GLEN,06:00 - 23:00,06:00 - 23:00,195500327808:en-US,11808 Old Glenn Hwy,Eagle River,United States,AK,99577,"Eagle River, AK 99577",(907) 694-4500,OPEN,5964,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,5964,31853,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.581584,-149.430913,"[-149.430913, 61.581584]",https://www.ubereats.com/store/mcdonalds-801-e-parks-hwy/9_WYdC2TTvig4O63hjGhiQ,WASILLA-PARKS HY,WASILLA-PARKS HY,06:00 - 23:00,06:00 - 23:00,195500327846:en-US,801 E Parks Hwy,Wasilla,United States,AK,99654,"Wasilla, AK 99654",(907) 376-4642,OPEN,7049,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,7049,31858,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.598982,-149.12364,"[-149.12364, 61.598982]",https://www.ubereats.com/store/mcdonalds-600-daron-dr/GOoInSJ4SKCpSIYTJKBfvw,PALMER-DARON DR,DARON DR/PALMER,06:00 - 23:00,04:00 - 23:00,195500327945:en-US,600 W Daron Dr,Palmer,United States,AK,99645,"Palmer, AK 99645",(907) 746-0335,OPEN,7943,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 00:00,04:00 - 00:00,04:00 - 23:00,7943,31872,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
64.837255,-147.759486,"[-147.759486, 64.837255]",https://www.ubereats.com/store/mcdonalds-1930-airport-way/w0z3n_R_QsiJ8sjzWtCrEA,FAIRBNK-AIRPORT,FAIRBNK-AIRPORT,05:00 - 23:00,00:00 - 00:00,195500327785:en-US,1930 Airport Way,Fairbanks,United States,AK,99701,"Fairbanks, AK 99701",(907) 452-4600,OPEN,2155,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'PlayPlacePresence', 'ROA', 'TWENTYFOURHOURS', 'WIFI']",05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,2155,31848,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,12980,"FAIRBANKS, AK."
64.859406,-147.696844,"[-147.696844, 64.859406]",https://www.ubereats.com/store/mcdonalds-449-harold-bentley-ave/8IRMet86SOuIJsx8swsZQQ,FAIRBNKS-JOHANSN,FAIRBANKS - JOHANSEN EXPRESSWAY,05:00 - 23:00,00:00 - 00:00,195500489834:en-US,449 Harold Bentley Ave,Fairbanks,United States,AK,99701,"Fairbanks, AK 99701",(907) 451-0770,OPEN,31791,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'PlayPlacePresence', 'ROA', 'TWENTYFOURHOURS', 'WIFI']",05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,31791,174100,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,12980,"FAIRBANKS, AK."
64.848734,-147.820013,"[-147.820013, 64.848734]",https://www.ubereats.com/store/mcdonalds-3905-geist-rd/f88ZAA-6T9ecqZKgdrh3iw,FAIRBANKS/GEIST,FAIRBANKS/GEIST,06:00 - 22:00,06:00 - 23:00,195500327976:en-US,3905 Geist Rd,Fairbanks,United States,AK,99709,"Fairbanks, AK 99709",(907) 474-2010,OPEN,11173,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'INDOORDINING', 'MCDELIVERY', 'WIFI']",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,11173,31876,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,12980,"FAIRBANKS, AK."
64.7576,-147.350929,"[-147.350929, 64.7576]",https://www.ubereats.com/store/mcdonalds-352-n-santa-claus-ln/ehpLcflGT_yIM6phAt-NOQ,NORTH POLE,SANTA CLAUS LANE,05:00 - 23:00,00:00 - 00:00,195500327952:en-US,352 N Santa Claus Ln,North Pole,United States,AK,99705,"North Pole, AK 99705",(907) 488-7779,OPEN,8007,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'PlayPlacePresence', 'ROA', 'TWENTYFOURHOURS', 'WIFI']",05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,8007,31874,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,12980,"FAIRBANKS, AK."
58.364486,-134.576119,"[-134.576119, 58.364486]",,JUNEAU-TROUT,JUNEAU-GLACIER,06:00 - 00:00,06:00 - 00:00,195500327815:en-US,2285 Trout St,Juneau,United States,AK,99801,"Juneau, AK 99801",(907) 789-4653,OPEN,6123,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,06:00 - 00:00,6123,31854,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10150,ALASKA NON-DMA
59.642583,-151.522907,"[-151.522907, 59.642583]",,HOMER,HOMER-PIONEER,05:00 - 00:00,05:00 - 00:00,195500327891:en-US,3656 Ben Walters Ln,Homer,United States,AK,99603,"Homer, AK 99603",(907) 235-5400,OPEN,7548,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,7548,31866,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
60.483175,-151.070798,"[-151.070798, 60.483175]",https://www.ubereats.com/store/mcdonalds-44420-sterling-hwy/euCxhloTTwGbCcjFJ_nl5A,SOLDOTNA-STERLNG,SOLDOTNA-STERLNG,05:00 - 23:00,05:00 - 00:00,195500327839:en-US,44420 Sterling Hwy,Soldotna,United States,AK,99669,"Soldotna, AK 99669",(907) 262-1074,OPEN,6723,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,6723,31857,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
60.559686,-151.235538,"[-151.235538, 60.559686]",https://www.ubereats.com/store/mcdonalds-us-10447-kenai-spur-highway/ef2WiqvOVsy1YajIFA6v-g,KENAI-SPUR HWY,KENAI-SPUR HWY,05:00 - 23:00,05:00 - 00:00,195500327907:en-US,10447 Kenai Spur Hwy,Kenai,United States,AK,99611,"Kenai, AK 99611",(907) 283-4008,OPEN,8015,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,05:00 - 00:00,8015,31867,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
